@relation 'resume_p2final-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9-weka.filters.unsupervised.attribute.NumericToNominal-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric
@attribute position {1,2,3,4,5}

@data
2001,42,4001,3
6001,27,8001,3
8001,54,10001,3
15000,18,10001,3
6001,19,6001,3
4001,15,8001,3
4001,13,6001,3
4001,6,6001,3
2001,22,4001,3
8001,44,6001,3
2001,21,2001,2
2001,9,4001,3
4001,11,6001,3
2001,1,2001,3
2001,6,2001,3
6001,0,6001,3
2001,6,2001,3
2001,20,4001,3
4001,4,4001,3
4001,40,4001,3
2001,12,2001,3
2001,58,4001,1
2001,36,2001,3
8001,13,8001,3
4001,1,4001,3
2001,23,4001,3
4001,52,4001,3
2001,11,2001,3
2001,6,4001,3
6001,54,6001,3
4001,35,6001,3
8001,18,10001,3
6001,20,6001,3
2001,44,2001,3
10001,17,10001,3
2001,12,6001,3
2001,9,4001,3
4001,14,6001,3
2001,12,4001,3
10001,31,10001,3
4001,5,6001,3
4001,15,6001,3
8001,7,8001,3
2001,6,6001,3
6001,52,6001,3
15000,45,10001,3
6001,19,8001,3
4001,6,4001,4
2001,8,4001,3
8001,25,10001,3
4001,578,4001,2
2001,4,2001,3
8001,32,15000,3
10001,17,10001,3
6001,29,6001,3
2001,33,4001,3
10001,25,10001,3
2001,14,6001,3
2001,12,8001,3
2001,15,2001,3
8001,40,10001,3
10001,23,10001,3
8001,45,10001,3
10001,90,10001,3
8001,7,8001,3
6001,21,4001,4
8001,25,10001,3
8001,11,8001,3
4001,43,2001,3
6001,15,8001,3
4001,16,4001,3
10001,28,10001,3
2001,42,4001,3
10001,14,15000,3
4001,114,4001,3
6001,10,8001,3
6001,27,10001,3
2001,3,2001,3
2001,131,2001,3
2001,3,4001,3
6001,18,8001,3
2001,4,2001,3
2001,30,2001,2
4001,184,4001,3
2001,8,2001,3
10001,52,10001,3
4001,36,4001,3
6001,58,8001,4
2001,7,2001,2
2001,121,2001,3
4001,37,6001,3
2001,7,2001,3
2001,31,4001,3
4001,14,6001,3
2001,4,4001,3
6001,13,8001,3
4001,12,4001,3
4001,13,8001,3
2001,2,2001,3
2001,2,2001,3
2001,22,2001,3
4001,5,2001,3
4001,4,8001,3
6001,15,8001,3
6001,5,6001,3
2001,3,4001,3
4001,9,6001,3
8001,22,10001,3
6001,14,6001,3
4001,3,4001,3
4001,3,6001,3
4001,87,4001,3
2001,60,2001,3
2001,2,2001,3
4001,13,6001,3
4001,2,4001,3
6001,11,6001,3
4001,12,8001,3
4001,10,4001,3
8001,23,8001,3
2001,16,4001,3
8001,28,10001,3
4001,10,4001,3
4001,9,6001,3
2001,12,6001,3
10001,102,8001,3
6001,81,8001,3
8001,13,10001,3
8001,23,8001,3
10001,4,10001,4
2001,7,2001,3
8001,67,6001,3
2001,15,2001,3
4001,54,4500,3
2001,5,2001,3
10001,148,10001,3
8001,78,8001,3
2001,41,4001,2
6000,53,7000,3
10001,103,10001,3
6001,16,15000,4
