@relation 'resume_p2final-weka.filters.unsupervised.attribute.NumericToNominal-R1,3,5,6,7,9,10-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9,10-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.Remove-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric

@data
2001,42,4001
6001,27,8001
8001,54,10001
4001,15,8001
4001,13,6001
4001,6,6001
2001,22,4001
2001,9,4001
4001,11,6001
2001,20,4001
2001,58,4001
2001,23,4001
2001,6,4001
4001,35,6001
8001,18,10001
2001,12,6001
2001,9,4001
4001,14,6001
2001,12,4001
4001,5,6001
4001,15,6001
2001,6,6001
6001,19,8001
2001,8,4001
8001,25,10001
8001,32,15000
2001,33,4001
2001,14,6001
2001,12,8001
8001,40,10001
8001,45,10001
8001,25,10001
6001,15,8001
2001,42,4001
10001,14,15000
6001,10,8001
6001,27,10001
2001,3,4001
6001,18,8001
6001,58,8001
4001,37,6001
2001,31,4001
4001,14,6001
2001,4,4001
6001,13,8001
4001,13,8001
4001,4,8001
6001,15,8001
2001,3,4001
4001,9,6001
8001,22,10001
4001,3,6001
4001,13,6001
4001,12,8001
2001,16,4001
8001,28,10001
4001,9,6001
2001,12,6001
6001,81,8001
8001,13,10001
4001,54,4500
2001,41,4001
6000,53,7000
6001,16,15000
6001,32,8001
10001,9,12000
6001,9,8001
2001,8,4001
4001,7,6001
2001,2,4001
4001,2,8001
2300,1,3000
2300,1,3000
6001,12,8001
4001,13,6001
8001,61,10001
10001,66,15000
2001,10,4001
4001,12,8001
2001,3,4001
4001,41,8001
6001,17,8001
4001,134,6001
6001,23,10001
4001,18,8001
6001,20,8001
2001,26,4001
4001,69,8001
2001,75,6001
4001,21,6001
8001,90,10001
2001,108,4001
6001,13,8001
2001,8,4001
4001,14,6001
2001,14,8001
4001,137,4500
4001,12,6001
6001,23,8001
6001,20,8001
6001,20,10001
10001,20,15000
2001,4,6000
8001,18,10000
6001,72,10001
8001,47,10001
2001,32,4001
6001,23,10001
2001,1,4001
6001,14,8001
4001,15,6001
4001,9,8001
4001,4,8001
2001,16,4001
2001,8,6001
6001,12,8001
2001,17,4001
10001,336,15000
4001,10,6001
2001,29,4001
2001,3,4001
8001,65,10000
4001,12,6001
2001,39,4001
2001,15,4001
2001,8,8001
2001,33,4001
2001,2,4001
4001,13,6001
2001,6,6001
2001,28,4001
2001,37,4001
2001,59,4001
4001,51,6001
4001,101,6001
2001,15,4001
8001,71,10001
8001,142,15000
10001,18,15000
4001,15,6001
2001,14,4001
2001,28,4001
6001,107,8001
2001,5,4001
2001,37,4001
10001,138,15000
4001,28,8001
2001,9,4001
4001,33,6001
6001,65,8001
4001,17,6001
4001,87,6001
4001,76,6001
2001,7,4001
4001,10,6001
4001,5,6001
4001,13,6001
4001,34,6001
2001,12,6001
6001,43,10001
2001,12,6001
6000,53,7000
6000,53,7000
6000,53,7000
6000,53,7000
6000,53,7000
2200,24,4000
10001,51,15000
6001,53,8001
4001,22,6001
4001,7,6001
4001,17,8001
2001,6,6001
6001,16,8001
6001,28,8001
6001,14,8001
2001,2,4001
2001,96,8001
2001,7,4001
4001,39,6001
10001,111,15000
6001,34,8001
4001,19,6001
6001,34,10001
4001,12,6001
2001,5,8001
8001,55,10001
2001,104,4001
6001,67,8001
6001,34,8001
2001,5,4001
10001,48,15000
6001,125,8001
8001,149,10001
10001,16,15000
4001,5,6001
2001,5,4001
8001,23,10001
4001,81,6001
10001,432,15000
6001,44,8001
8001,83,10001
2001,14,4001
6001,101,8001
4001,41,6001
4001,36,6001
4001,29,6001
2001,12,4001
2001,8,4001
2001,5,4001
2001,12,4001
4001,84,6001
2001,1,4001
2001,8,4001
8001,154,10001
2001,5,4001
4001,63,6001
4001,6,6001
4001,35,8001
2001,13,4001
4001,72,6001
2001,30,4001
4001,26,8001
4001,4,6001
6001,22,8001
4001,13,6001
4001,12,6001
2001,37,4001
4001,81,6001
2001,36,4001
2001,35,4001
8001,42,10001
2001,28,4001
2001,12,4001
6001,26,10001
2001,2,4001
4001,5,6001
2001,37,10001
4001,17,6001
6001,24,8000
4001,13,6001
4001,28,6001
4001,11,6001
10001,59,15000
2001,4,4001
4001,18,6001
2001,61,4001
8001,40,10001
8001,78,10001
4001,17,8001
4001,18,6001
2001,14,4001
8001,91,10001
4001,67,6001
2001,8,4001
6001,32,8001
10001,84,15000
10001,158,15000
8001,43,15000
4001,13,6001
10001,37,15000
4001,9,6001
4001,10,6001
2001,35,4001
10001,122,15000
6001,22,8001
8001,96,10001
6001,15,8001
2001,4,4001
2001,92,4001
4001,281,8001
8001,402,10001
4001,14,8001
2001,5,4001
6001,80,8001
2001,5,4001
2001,22,4001
2001,3,4001
8001,22,10001
2001,7,4001
2001,35,4001
2001,8,4001
4001,12,6001
4001,19,6001
6001,16,8001
2001,15,4001
4001,19,6001
4001,16,6001
2001,10,6001
4001,22,6001
2001,8,6001
8001,47,15000
2001,4,4001
2001,5,4001
2001,5,4001
6001,13,8001
8001,21,10001
2001,1,4001
2001,17,10001
2001,26,4001
4001,22,6001
10001,50,15000
4001,15,6001
4001,12,6001
2001,5,4001
2001,9,4001
10001,17,15000
8001,55,15000
6001,100,10001
8001,45,15000
6001,13,8000
6001,16,10001
6001,11,8001
6001,22,8001
6001,14,8001
8001,19,10000
6001,14,8001
4001,30,6001
6000,53,7000
4001,12,6001
2001,12,5000
8001,78,10001
10001,85,15000
6001,12,8000
10001,66,15000
2001,236,6001
2001,11,4001
2001,11,4001
2001,9,4001
